"WorkOrderID","ProductID","OperationSequence","LocationID","ScheduledStartDate","ScheduledEndDate","ActualStartDate","ActualEndDate","ActualResourceHrs","PlannedCost","ActualCost","ModifiedDate"
"50666","957","7","60","2013-11-04 00:00:00","2013-11-15 00:00:00","2013-11-04 00:00:00","2013-11-22 00:00:00","4.0000","49.0000","49.0000","2013-11-21 23:00:00"
"50667","960","7","60","2013-11-04 00:00:00","2013-11-15 00:00:00","2013-11-04 00:00:00","2013-11-22 00:00:00","4.0000","49.0000","49.0000","2013-11-21 23:00:00"
"50668","962","7","60","2013-11-04 00:00:00","2013-11-15 00:00:00","2013-11-04 00:00:00","2013-11-22 00:00:00","4.0000","49.0000","49.0000","2013-11-21 23:00:00"
"50669","963","7","60","2013-11-04 00:00:00","2013-11-15 00:00:00","2013-11-04 00:00:00","2013-11-22 00:00:00","4.0000","49.0000","49.0000","2013-11-21 23:00:00"
"50670","964","7","60","2013-11-04 00:00:00","2013-11-15 00:00:00","2013-11-04 00:00:00","2013-11-22 00:00:00","4.0000","49.0000","49.0000","2013-11-21 23:00:00"
"50671","967","7","60","2013-11-04 00:00:00","2013-11-15 00:00:00","2013-11-04 00:00:00","2013-11-22 00:00:00","4.0000","49.0000","49.0000","2013-11-21 23:00:00"
"50672","973","7","60","2013-11-04 00:00:00","2013-11-15 00:00:00","2013-11-04 00:00:00","2013-11-22 00:00:00","4.0000","49.0000","49.0000","2013-11-21 23:00:00"
"50673","977","7","60","2013-11-04 00:00:00","2013-11-15 00:00:00","2013-11-04 00:00:00","2013-11-22 00:00:00","4.0000","49.0000","49.0000","2013-11-21 23:00:00"
"50674","979","7","60","2013-11-04 00:00:00","2013-11-15 00:00:00","2013-11-04 00:00:00","2013-11-22 00:00:00","4.0000","49.0000","49.0000","2013-11-21 23:00:00"
"50675","980","7","60","2013-11-04 00:00:00","2013-11-15 00:00:00","2013-11-04 00:00:00","2013-11-22 00:00:00","4.0000","49.0000","49.0000","2013-11-21 23:00:00"
"50676","981","7","60","2013-11-04 00:00:00","2013-11-15 00:00:00","2013-11-04 00:00:00","2013-11-22 00:00:00","4.0000","49.0000","49.0000","2013-11-21 23:00:00"
"50677","983","7","60","2013-11-04 00:00:00","2013-11-15 00:00:00","2013-11-04 00:00:00","2013-11-22 00:00:00","4.0000","49.0000","49.0000","2013-11-21 23:00:00"
"50678","985","7","60","2013-11-04 00:00:00","2013-11-15 00:00:00","2013-11-04 00:00:00","2013-11-22 00:00:00","4.0000","49.0000","49.0000","2013-11-21 23:00:00"
"50679","989","7","60","2013-11-04 00:00:00","2013-11-15 00:00:00","2013-11-04 00:00:00","2013-11-22 00:00:00","4.0000","49.0000","49.0000","2013-11-21 23:00:00"
"50680","990","7","60","2013-11-04 00:00:00","2013-11-15 00:00:00","2013-11-04 00:00:00","2013-11-22 00:00:00","4.0000","49.0000","49.0000","2013-11-21 23:00:00"
