"WorkOrderID","ProductID","OperationSequence","LocationID","ScheduledStartDate","ScheduledEndDate","ActualStartDate","ActualEndDate","ActualResourceHrs","PlannedCost","ActualCost","ModifiedDate"
"65512","955","7","60","2014-03-30 00:00:00","2014-04-10 00:00:00","2014-03-30 00:00:00","2014-04-11 00:00:00","4.0000","49.0000","49.0000","2014-04-10 22:00:00"
"65513","958","7","60","2014-03-30 00:00:00","2014-04-10 00:00:00","2014-03-30 00:00:00","2014-04-11 00:00:00","4.0000","49.0000","49.0000","2014-04-10 22:00:00"
"65514","962","7","60","2014-03-30 00:00:00","2014-04-10 00:00:00","2014-03-30 00:00:00","2014-04-11 00:00:00","4.0000","49.0000","49.0000","2014-04-10 22:00:00"
"65515","966","7","60","2014-03-30 00:00:00","2014-04-10 00:00:00","2014-03-30 00:00:00","2014-04-11 00:00:00","4.0000","49.0000","49.0000","2014-04-10 22:00:00"
"65516","967","7","60","2014-03-30 00:00:00","2014-04-10 00:00:00","2014-03-30 00:00:00","2014-04-11 00:00:00","4.0000","49.0000","49.0000","2014-04-10 22:00:00"
"65517","968","7","60","2014-03-30 00:00:00","2014-04-10 00:00:00","2014-03-30 00:00:00","2014-04-11 00:00:00","4.0000","49.0000","49.0000","2014-04-10 22:00:00"
"65518","969","7","60","2014-03-30 00:00:00","2014-04-10 00:00:00","2014-03-30 00:00:00","2014-04-11 00:00:00","4.0000","49.0000","49.0000","2014-04-10 22:00:00"
"65519","973","7","60","2014-03-30 00:00:00","2014-04-10 00:00:00","2014-03-30 00:00:00","2014-04-11 00:00:00","4.0000","49.0000","49.0000","2014-04-10 22:00:00"
"65520","974","7","60","2014-03-30 00:00:00","2014-04-10 00:00:00","2014-03-30 00:00:00","2014-04-11 00:00:00","4.0000","49.0000","49.0000","2014-04-10 22:00:00"
"65521","975","7","60","2014-03-30 00:00:00","2014-04-10 00:00:00","2014-03-30 00:00:00","2014-04-11 00:00:00","4.0000","49.0000","49.0000","2014-04-10 22:00:00"
"65522","976","7","60","2014-03-30 00:00:00","2014-04-10 00:00:00","2014-03-30 00:00:00","2014-04-11 00:00:00","4.0000","49.0000","49.0000","2014-04-10 22:00:00"
"65523","983","7","60","2014-03-30 00:00:00","2014-04-10 00:00:00","2014-03-30 00:00:00","2014-04-11 00:00:00","4.0000","49.0000","49.0000","2014-04-10 22:00:00"
"65524","991","7","60","2014-03-30 00:00:00","2014-04-10 00:00:00","2014-03-30 00:00:00","2014-04-11 00:00:00","4.0000","49.0000","49.0000","2014-04-10 22:00:00"
"65525","997","7","60","2014-03-30 00:00:00","2014-04-10 00:00:00","2014-03-30 00:00:00","2014-04-11 00:00:00","4.0000","49.0000","49.0000","2014-04-10 22:00:00"
"65526","998","7","60","2014-03-30 00:00:00","2014-04-10 00:00:00","2014-03-30 00:00:00","2014-04-11 00:00:00","4.0000","49.0000","49.0000","2014-04-10 22:00:00"
"65527","999","7","60","2014-03-30 00:00:00","2014-04-10 00:00:00","2014-03-30 00:00:00","2014-04-11 00:00:00","4.0000","49.0000","49.0000","2014-04-10 22:00:00"
