"WorkOrderID","ProductID","OperationSequence","LocationID","ScheduledStartDate","ScheduledEndDate","ActualStartDate","ActualEndDate","ActualResourceHrs","PlannedCost","ActualCost","ModifiedDate"
"60562","942","3","30","2014-02-09 00:00:00","2014-02-20 00:00:00","2014-02-09 00:00:00","2014-03-05 00:00:00","1.0000","14.5000","14.5000","2014-03-04 23:00:00"
"60562","942","5","45","2014-02-09 00:00:00","2014-02-20 00:00:00","2014-02-09 00:00:00","2014-03-05 00:00:00","2.0000","36.0000","36.0000","2014-03-04 23:00:00"
"60562","942","6","50","2014-02-09 00:00:00","2014-02-20 00:00:00","2014-02-09 00:00:00","2014-03-05 00:00:00","3.0000","36.7500","36.7500","2014-03-04 23:00:00"
"60562","942","7","60","2014-02-09 00:00:00","2014-02-20 00:00:00","2014-02-09 00:00:00","2014-03-05 00:00:00","4.0000","49.0000","49.0000","2014-03-04 23:00:00"
"60563","945","1","10","2014-02-09 00:00:00","2014-02-20 00:00:00","2014-02-09 00:00:00","2014-03-05 00:00:00","4.1000","92.2500","92.2500","2014-03-04 23:00:00"
"60563","945","6","50","2014-02-09 00:00:00","2014-02-20 00:00:00","2014-02-09 00:00:00","2014-03-05 00:00:00","3.0000","36.7500","36.7500","2014-03-04 23:00:00"
"60564","946","1","10","2014-02-09 00:00:00","2014-02-20 00:00:00","2014-02-09 00:00:00","2014-03-05 00:00:00","4.1000","92.2500","92.2500","2014-03-04 23:00:00"
"60564","946","2","20","2014-02-09 00:00:00","2014-02-20 00:00:00","2014-02-09 00:00:00","2014-03-05 00:00:00","3.5000","87.5000","87.5000","2014-03-04 23:00:00"
"60564","946","6","50","2014-02-09 00:00:00","2014-02-20 00:00:00","2014-02-09 00:00:00","2014-03-05 00:00:00","3.0000","36.7500","36.7500","2014-03-04 23:00:00"
"60565","947","1","10","2014-02-09 00:00:00","2014-02-20 00:00:00","2014-02-09 00:00:00","2014-03-05 00:00:00","4.1000","92.2500","92.2500","2014-03-04 23:00:00"
"60565","947","2","20","2014-02-09 00:00:00","2014-02-20 00:00:00","2014-02-09 00:00:00","2014-03-05 00:00:00","3.5000","87.5000","87.5000","2014-03-04 23:00:00"
"60565","947","6","50","2014-02-09 00:00:00","2014-02-20 00:00:00","2014-02-09 00:00:00","2014-03-05 00:00:00","3.0000","36.7500","36.7500","2014-03-04 23:00:00"
"60566","949","6","50","2014-02-09 00:00:00","2014-02-20 00:00:00","2014-02-09 00:00:00","2014-03-05 00:00:00","3.0000","36.7500","36.7500","2014-03-04 23:00:00"
"60567","950","6","50","2014-02-09 00:00:00","2014-02-20 00:00:00","2014-02-09 00:00:00","2014-03-05 00:00:00","3.0000","36.7500","36.7500","2014-03-04 23:00:00"
"60568","951","6","50","2014-02-09 00:00:00","2014-02-20 00:00:00","2014-02-09 00:00:00","2014-03-05 00:00:00","3.0000","36.7500","36.7500","2014-03-04 23:00:00"
"60569","994","6","50","2014-02-09 00:00:00","2014-02-20 00:00:00","2014-02-09 00:00:00","2014-03-05 00:00:00","3.0000","36.7500","36.7500","2014-03-04 23:00:00"
"60570","995","6","50","2014-02-09 00:00:00","2014-02-20 00:00:00","2014-02-09 00:00:00","2014-03-05 00:00:00","3.0000","36.7500","36.7500","2014-03-04 23:00:00"
"60571","996","6","50","2014-02-09 00:00:00","2014-02-20 00:00:00","2014-02-09 00:00:00","2014-03-05 00:00:00","3.0000","36.7500","36.7500","2014-03-04 23:00:00"
"60586","802","1","10","2014-02-09 00:00:00","2014-02-20 00:00:00","2014-02-09 00:00:00","2014-03-05 00:00:00","4.1000","92.2500","92.2500","2014-03-04 23:00:00"
"60586","802","6","50","2014-02-09 00:00:00","2014-02-20 00:00:00","2014-02-09 00:00:00","2014-03-05 00:00:00","3.0000","36.7500","36.7500","2014-03-04 23:00:00"
"60587","803","1","10","2014-02-09 00:00:00","2014-02-20 00:00:00","2014-02-09 00:00:00","2014-03-05 00:00:00","4.1000","92.2500","92.2500","2014-03-04 23:00:00"
"60587","803","6","50","2014-02-09 00:00:00","2014-02-20 00:00:00","2014-02-09 00:00:00","2014-03-05 00:00:00","3.0000","36.7500","36.7500","2014-03-04 23:00:00"
"60588","804","1","10","2014-02-09 00:00:00","2014-02-20 00:00:00","2014-02-09 00:00:00","2014-03-05 00:00:00","4.1000","92.2500","92.2500","2014-03-04 23:00:00"
"60588","804","6","50","2014-02-09 00:00:00","2014-02-20 00:00:00","2014-02-09 00:00:00","2014-03-05 00:00:00","3.0000","36.7500","36.7500","2014-03-04 23:00:00"
"60593","782","7","60","2014-02-10 00:00:00","2014-02-21 00:00:00","2014-02-13 00:00:00","2014-02-21 00:00:00","4.0000","49.0000","49.0000","2014-02-20 23:00:00"
"60594","784","7","60","2014-02-10 00:00:00","2014-02-21 00:00:00","2014-02-13 00:00:00","2014-02-21 00:00:00","4.0000","49.0000","49.0000","2014-02-20 23:00:00"
"60595","792","7","60","2014-02-10 00:00:00","2014-02-21 00:00:00","2014-02-13 00:00:00","2014-02-21 00:00:00","4.0000","49.0000","49.0000","2014-02-20 23:00:00"
"60596","793","7","60","2014-02-10 00:00:00","2014-02-21 00:00:00","2014-02-13 00:00:00","2014-02-21 00:00:00","4.0000","49.0000","49.0000","2014-02-20 23:00:00"
"60597","794","7","60","2014-02-10 00:00:00","2014-02-21 00:00:00","2014-02-13 00:00:00","2014-02-21 00:00:00","4.0000","49.0000","49.0000","2014-02-20 23:00:00"
"60598","796","7","60","2014-02-10 00:00:00","2014-02-21 00:00:00","2014-02-13 00:00:00","2014-02-21 00:00:00","4.0000","49.0000","49.0000","2014-02-20 23:00:00"
